Sr#,Product_Code1,narrative1,FirstDate,LastDate,Total OLD,Secured/Unsec,Product -1,Product -2,,,
1,ARFEL,APNA AGR RF LIMIT ENT NEW LIEN,26/03/2019,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
2,ABTFUR,APNA AGRI BULLET LOAN - REPEAT LOAN,23/06/2021,09/03/2022,,Unsecured ,AGRI-UNSECURED,Bullet-Unsecured,,,
3,AABTFN,APNA AGRI BULLET LOAN NEW/LIEN,21/01/2020,21/01/2020,,Secured ,BULLET,Bullet-Unsecured,,,
4,AABTFU,APNA AGRI BULLET UNSECURED,21/01/2020,09/03/2022,,Unsecured ,BULLET,Bullet-Unsecured,,,
5,AABTFE,APNA AGRI BULLTET ENT/LIEN,01/02/2020,01/02/2020,,Secured ,AGRI-SECURED,Bullet-Unsecured,,,
6,AARFE,APNA AGRI RF LIMIT ENT NEW,13/04/2018,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
7,AARF,APNA AGRI RF LIMIT NEW,30/04/2018,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
8,AGRFEN,APNA AGRI RUNNING FINANCE ENTERPRISE NEW,22/09/2017,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured Unsecured,"(before 26-10-2019 unsecured, later secured)",,
9,AGRFEL,APNA AGRI RUNNING FINANCE ENTERPRISE\LIEN,31/08/2018,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
10,AGRF,APNA AGRI RUNNING FINANCE NEW,17/08/2017,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured Unsecured,"(before 26-10-2019 unsecured, later secured)",,
11,AGRFL,APNA AGRI RUNNING FINANCE\LIEN,31/08/2018,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
12,AASL,APNA AGRI SMART LOAN,25/06/2020,09/03/2022,,Unsecured ,AGRI-UNSECURED,Agri-Unsecured,,,
13,AGTFEN,APNA AGRI TERM FINANCE ENTERPRISE NEW/LIEN,14/03/2018,14/03/2018,,Secured ,AGRI-SECURED,Agri-Secured,,,
14,AGTFEL,APNA AGRI TERM FINANCE ENTERPRISE\LIEN,11/10/2018,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
15,AGTF,APNA AGRI TERM FINANCE NEW,12/07/2017,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
16,ARFL,APNA AGRI  RF LIMIT NEW LIEN,26/03/2019,09/03/2022,,Secured ,AGRI-SECURED,Agri-Secured,,,
17,AARE18,APNA AGRICULTURE RF ENT(OLD)@18 %,24/10/2018,09/03/2022,OLD,,,OLD,,,
18,AARE21,APNA AGRICULTURE RF ENT(OLD)@21%,14/12/2018,09/03/2022,OLD,,,OLD,,,
19,AARE24,APNA AGRICULTURE RF ENT(OLD)@24 %,15/05/2019,09/03/2022,OLD,,,OLD,,,
20,AAR21,APNA AGRICULTURE RF(OLD)@ 21 %,27/10/2018,09/03/2022,OLD,,,OLD,,,
21,AAR24,APNA AGRICULTURE RF(OLD)@ 24 %,27/11/2018,09/03/2022,OLD,,,OLD,,,
22,AAR18,APNA AGRICULTURE RF(OLD)@18%,19/10/2018,09/03/2022,OLD,,,OLD,,,
23,BUTFL,APNA BUSINESS LOAN TF/LIEN,13/05/2020,09/03/2022,,Secured ,BUSINESS-SECURED,Business-Secured,,,
24,ABRFE,APNA BUSINESS RF ENT LIMIT NEW,31/03/2018,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
25,ABRFEL,APNA BUSINESS RF ENT LIMIT NEW\LIEN,30/06/2020,09/03/2022,,Secured ,BUSINESS-SECURED,Business-Secured,,,
26,ABRE21,APNA BUSINESS RF ENT(OLD)@ 21 %,12/11/2018,09/03/2022,OLD,,,OLD,,,
27,ABRE18,APNA BUSINESS RF ENT(OLD)@18 %,26/10/2018,09/03/2022,OLD,,,OLD,,,
28,ABRE24,APNA BUSINESS RF ENT(OLD)@24 %,15/11/2018,09/03/2022,OLD,,,OLD,,,
29,ABRF,APNA BUSINESS RF LIMIT NEW,07/05/2018,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
30,ABRFL,APNA BUSINESS RF LIMIT NEW\LIEN,22/07/2020,09/03/2022,,Secured ,BUSINESS-SECURED,Business-Secured,,,
31,ABR24,APNA BUSINESS RF(OLD)@ 24 %,05/11/2018,09/03/2022,OLD,,,OLD,,,
32,ABR18,APNA BUSINESS RF(OLD)@18 %,22/10/2018,09/03/2022,OLD,,,OLD,,,
33,ABR21,APNA BUSINESS RF(OLD)@21%,27/10/2018,09/03/2022,OLD,,,OLD,,,
34,BURFEN,APNA BUSINESS RUNNING FINANCE ENTERPRISE NEW,29/09/2017,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
35,BURF,APNA BUSINESS RUNNING FINANCE NEW,03/10/2017,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
36,BUTFEN,APNA BUSINESS TERM FINANCE ENTERPRISE NEW/LIEN,31/08/2017,09/03/2022,,Secured ,BUSINESS-SECURED,Business-Secured Unsecured,"(before 26-10-2019 unsecured, later secured)",,
37,BUTF,APNA BUSINESS TERM FINANCE NEW,30/06/2017,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
38,BUTFEU,APNA BUSINESS TF ENTERPRISE UNSECURED,23/12/2019,09/03/2022,,Unsecured ,BUSINESS-UNSECURED,Salary & Business-Unsecured,,,
39,APCFER,APNA CASH FINANCE AGAINST DEPOSIT ENTERPRISE RF,20/07/2016,09/03/2022,OLD,,,OLD,,,
40,APCFR,APNA CASH FINANCE AGAINST DEPOSIT RUNNING FINANCE,22/08/2016,22/08/2016,OLD,,,OLD,,,
41,AECTF,APNA EHSAAS CART FINANCING,12/10/2021,09/03/2022,,Secured ,SAWARI,ASD-Unsecured,,,
42,APFET,APNA FARM ENTERPRISE TERM,27/06/2016,27/06/2016,OLD,,,OLD,,,
43,HOUS,APNA GHAR,11/03/2005,09/03/2022,OLD,,,OLD,,,
44,APGER,APNA GOLD ENTERPRISE RUNNING,12/04/2016,09/03/2022,OLD,,,OLD,,,
45,GLREO,APNA GOLD RF ENT OLD,19/12/2018,09/03/2022,OLD,,,OLD,,,
46,GLT1,APNA GOLD RF HALLF YEARLY TIER-1,16/09/2020,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
47,GLT2,APNA GOLD RF HALLF YEARLY TIER-2,17/09/2020,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
48,GLT3,APNA GOLD RF HALLF YEARLY TIER-3,28/09/2020,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
49,GLRFO,APNA GOLD RF OLD,22/11/2018,09/03/2022,OLD,,,OLD,,,
50,APGR,APNA GOLD RUNNING,20/09/2012,09/03/2022,OLD,,,OLD,,,
51,GLRFEH,APNA GOLD RUNNING FINANCE ENT NEW HALF YEARLY,03/04/2018,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
52,GLRFEQ,APNA GOLD RUNNING FINANCE ENT NEW QUARTERLY,05/04/2018,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
53,GLRFEY,APNA GOLD RUNNING FINANCE ENT NEW YEARLY,24/01/2020,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
54,GLRFEN,APNA GOLD RUNNING FINANCE ENTERPRISE NEW,29/09/2017,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
55,GLDRF,APNA GOLD RUNNING FINANCE NEW,11/07/2017,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
56,GLDRFH,APNA GOLD RUNNING FINANCE NEW HALF YEARLY,03/04/2018,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
57,GLDRFQ,APNA GOLD RUNNING FINANCE NEW QUARTERLY,04/04/2018,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
58,GLDRFY,APNA GOLD RUNNING FINANCE NEW YEARLY,24/01/2020,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
59,APG,APNA GOLD TERM,28/08/2012,09/03/2022,OLD,,,OLD,,,
60,GLTFEN,APNA GOLD TERM FINANCE ENTERPRISE NEW,07/02/2018,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
61,GLDTF,APNA GOLD TERM FINANCE NEW,03/10/2017,09/03/2022,,Secured ,GOLD,Gold-Secured,,,
62,AHLNS,APNA HOUSE LOAN NON-STRUCTURAL,18/12/2019,09/03/2022,,Secured ,HOUSE,Housing-Secured,,,
63,AHLS,APNA HOUSE LOAN STRUCTURAL,18/12/2019,09/03/2022,,Secured ,HOUSE,Housing-Secured,,,
64,APHTF,APNA HOUSE LOAN TF NEW,26/02/2018,09/03/2022,,Secured ,HOUSE,Housing-Secured,,,
65,APH,APNA HUNAR,20/04/2012,09/03/2022,OLD,,,OLD,,,
66,APAGER,APNA KAROBAR AGRI ENTERPRISE RUNNING FINANCE,17/06/2016,09/03/2022,OLD,,,OLD,,,
67,APKER,APNA KAROBAR ENTERPRISE RUNNING,30/04/2014,09/03/2022,OLD,,,OLD,,,
68,APKET,APNA KAROBAR ENTERPRISE TERM,30/05/2014,09/03/2022,OLD,,,OLD,,,
69,KTFORE,APNA KAROBAR ENTERPRISE TF(OLD RF),30/06/2018,09/03/2022,OLD,,,OLD,,,
70,KRFOR,APNA KAROBAR GENERAL TF(OLD RF),24/07/2018,09/03/2022,OLD,,,OLD,,,
71,APK,APNA KAROBAR RUNNING,31/05/2013,09/03/2022,OLD,,,OLD,,,
72,APKK,APNA KAROBAR TERM,07/09/2012,09/03/2022,OLD,,,OLD,,,
73,MATFET,APNA LIVE  STOCK TF (MA) ENTERPRISE NEW/LIEN,08/09/2017,09/03/2022,,Secured ,LIVE STOCK-SECURED,Live Stock-Secured Unsecured,"(before 26-10-2019 unsecured, later secured)",,
